,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197
技术,技术条件,技术标准,强制性法规上的技术标准,技术装备,新材料技术评审,技术进展,技术特性,技术创新,技术措施,技术,MPC技术,RBI技术,有限元技术,标准技术,多线程控制技术,预应力技术,自动化技术,应变强化技术,室温应变强化技术,规则化数据还原技术,载荷图技术,子模型技术,修复技术,探头技术,声发射技术,复合复层技术,施工技术,成形技术,三项核心技术,磁记忆技术,互联网信息技术,数值模拟技术,焊接技术,创新技术,风险分析技术,单元生死技术,储氢技术,控制与防治技术,检测技术,TOFD检测技术,TOFD超声检测技术,自动超声检测技术,内腐蚀检测技术,相控阵检测技术,超声波缺陷检测技术,热喷涂技术,堆焊技术,装焊技术,聚焦技术,超声聚焦技术,合成孔径聚焦技术,试样重组技术,冷装技术,安装技术,预警技术,统计技术,制造技术,再制造技术,建造技术,关键技术,检验技术,微试样试验技术,技术指标,技术方案,技术要求,技术特点,技术应用,固定式压力容器安全技术监察规程,安全技术规范,特种设备安全技术规范,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
参数-尺寸-角-环境-系数,形状系数Y,动态弯折角β,参数识别,环境激励,环境影响疲劳,参数优化,棱角区,弯曲参数的选取,参数化绘图,参数化模型,双楔角环垫,八角垫,自紧式八角垫,H2S环境,工业大气环境,复合湿硫化氢环境,蒸汽环境,海洋环境,火灾环境,腐蚀环境,复杂腐蚀环境,角接头,环境疲劳修正因子,环境加速因子,壳体尺寸,几何尺寸,结构尺寸,CT试样尺寸,熔池尺寸,公称尺寸,晶粒尺寸,临界裂纹尺寸,缺陷尺寸,尺寸效应,尺寸精度,Zig Zag角度,棱角度,射线角度,通道角度,角变形,管口圆角半径,LM参数,Z参数,分布规律与参数,操作参数,热源模型参数,尺寸参数,模态参数,紧密性参数,磁性参数,拘束参数,结构参数,凹凸结构参数,无量纲参数,工艺参数,频谱参数,应力集中系数,等效应力集中系数,三维曲面相似系数,稳定安全系数,相关系数,振型相关系数,折减系数,塑性折减系数,升力系数,轴向弯曲应力系数,阻力系数,疲劳缺口系数,应力增大系数,腐蚀加速效应系数,剩余强度系数,深度系数,磁硬度系数,能力减弱系数,应力范围减弱系数,疲劳强度减弱系数,动态特性系数,超声非线性系数,组合泄放系数,燃料系数,曲率修正系数,组合校正系数,传热系数,导热系数,换热系数,垫片系数,形状系数,疲劳累积使用系数,焊缝系数,线膨胀系数,鼓胀系数,二维单侧容限系数,超大尺寸的组合管板,热角保护结构,参数化分析,参数分析,环境污染,大尺寸规格,参数化建模,ANSYS参数化建模,TTP参数法,LarsonMiller参数法,动力系数法,角位移,外压应力系数B曲线,角焊缝,大角焊缝,管座角焊缝,管板角焊缝,管与管板角焊缝,倒角,排列角,螺纹升角,接管内圆角,裂纹夹角,裂纹尖端张开角,动态弯折角,螺旋角,ANSYS参数化设计语言,参数估计,参数设计,车间焊接环境菲绕林试验,全尺寸气体爆破试验,全尺寸爆破试验,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
温度,温度限制,温度应力,温度范围,温度场,非均匀温度场,瞬态温度场,温度场分布,稳态温度场分布,温度分布,温度,Ms温度,单温度,转变温度,无塑性转变温度,脆性转变温度,韧脆转变温度,混凝土温度,管壁温度,多温度,最低设计金属温度,成形温度,瞬态温度,稳态温度,液氮温度,保温温度,热处理温度,适用温度,参考温度,终轧温度,温度分析,温度变化速率,韧脆转变温度曲线,温度载荷,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
强度,裂尖应力强度σ1′,强度标准值,应力强度准则,强度试压,强度破坏,应力强度因子,临界应力强度因子,强度不匹配因子,强度评定,应力强度评定,法兰强度和刚度,强度,持久强度,蠕变持久强度,高温持久强度,壳体强度,剩余强度,剪切强度,抗剪强度,应力强度,总应力强度,疲劳强度,外压强度,蠕变强度,结合强度,磁感应强度,抗拉强度,胀接强度,连接强度,材料强度,屈服强度,条件屈服强度,当量屈服强度,结构强度,湍流强度,破裂强度,管道强度,静强度,高强度,强度裕度,强度胀接,强度失效,强度分析,强度校核,强度焊,高强度气瓶,高强度钢瓶,强度计算,压力容器强度计算,强度胀,强度性能,强度设计,强度测试,强度匹配,高强度钢,B610E高强度钢,特种高强度钢,强度极限,持久强度极限,强度试验,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
能量,冲击吸收能量KV2,低温冲击吸收能量KV2,能量值,大线能量焊接,能量释放,能量法,能量传递,能量分配,能量,冲击吸收能量,夏比冲击吸收能量,小冲杆能量,线能量,大线能量焊接用钢,大线能量用钢,大焊接线能量用钢,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
性能,性能退化,性能分析,性能指标,低温性能指标,性能,组织与性能,拉伸性能,冲击性能,抗冲击性能,低温冲击性能,阻力性能,疲劳性能,组织及性能,蠕变性能,综合性能,传热综合性能,组织和性能,改善性能,接头性能,力学性能,金相及力学性能,焊接接头力学性能,材料力学性能,局部力学性能,密封性能,热工性能,压缩回弹性能,焊接性能,连接性能,材料性能,低温性能,高温性能,传热性能,使用性能,组织性能,腐蚀性能,抗震性能,抗风性能,性能降解,性能验证,性能检验,性能试验,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
度,高密度聚乙烯HDPE,刚度条件,梯度值,灰度图像,等效厚度模拟非线性有限元,清洁度控制,垂直度控制,全密度反应器,高黏度物料搅拌器,密度差,厚度效应,尺度效应,疲劳累积损伤度,刚度,轴向刚度,扭曲管轴向刚度,水平刚度,动态刚度,轴向非线性刚度,等效刚度,结构刚度,弹簧刚度,法律制度,热处理制度,流量分配不均匀度,敏化度,厚度,名义厚度,图纸名义厚度,控制厚度,管壁厚度,大厚度,最小厚度,绝热层厚度,搪玻璃层厚度,投料厚度,管板厚度,透照厚度,设计厚度,风险可接受度,超应变度,圆度,筒体圆度,卷制圆度,自重变形圆度,椭圆度,保守度,接触宽度,振实密度,热流密度,功率谱密度,异径度,平板挠度,塔顶挠度,灵敏度,清晰度,拘束度,梯度,热梯度,压力降梯度,H浓度,H2S浓度,Cl浓度,极限浓度,切口深度,腐蚀深度,相对湿度,硬度,相对硬度,显微硬度,布氏硬度,维氏硬度,里氏硬度,胀接程度,精度,加工精度,分析精度,粗糙度,直线度,关联度,安全裕度,重要度,应力三轴度,同轴度,摆动速度,冷却速度,动态裂纹扩展速度,断裂扩展速度,临界横流速度,熔区长度,未胀合长度,单位周期流道轴向长度,临界长度,安全端长度,计算长度,接管长度,长轴长度,超压限度,可靠度,动态可靠度,平面度,管端平面度,断裂韧度,延性断裂韧度,高温断裂韧度,缺口高度,翅片高度,裂纹高度,暗线黑度,制度安排,变厚度过渡段连接,概率密度函数,关联度分析,裂纹深度比,刚度叠加法,柔度法,柔度变化率,高度分辨率,厚度计算,塔顶挠度的计算,制度体系,厚度减薄,真密度测试,初始厚度缺陷,硬度试验,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
率,慢应变速率拉伸,率相关,比率塑性功,概率非概率混合模型,概率断裂力学,应变率效应,概率分析,延伸率,拔出率,检出率,裂纹检出率,日蒸发率,结合率,容积残余变形率,排放率,失效率,传热效率,翅片效率,曲率,屈服率,概率,失效概率,设备失效概率,存活率,初始充满率,泄漏率,开盖率,胀管率,压缩率,横向分辨率,慢应变拉伸速率,冷却速率,升压速率,应变速率,慢应变速率,周长应变速率,扩展速率,裂纹扩展速率,疲劳裂纹扩展速率,蠕变裂纹扩展速率,降温速率,位移速率,腐蚀速率,阳极溶解速率,加载速率,稀释率,弯曲伸长率,故障率,频率,重复频率,自振频率,固有频率,频率分离,伸长率换算,功率谱,地震功率谱,慢应变速率拉伸试验,慢应变速率试验,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
量,损伤变量D2,定量RBI,质量控制过程中,质量评价,排量评估,流量不均幅值,铁素体量控制,质量控制,过程质量控制,第三、第四当量应力,质量优化,量化,轻量化,法兰轻量化,调谐质量阻尼器,当量应变范围,定量评定,支持向量机,当量实心板,定量分析,定量风险分析,质量检查,伸长量控制法,折算质量法,定量超声检测,质量检测,定量研究,当量圆管,高通量管,核质量分组,轻量化设计,标准孔板流量计,质量保证,质量符合性验证,排量测试,铁素体量,纵缝直边余量,补偿量,误差缓冲量,均布分量,线性分量,非线性分量,独立分量,参量,特征参量,离散变量,混合离散变量,随机变量,铁素体含量,合金元素含量,铁含量,定量,回弹量,耐点蚀当量,胀形量,排量,搭接量,安全泄放量,弹性模量,循环弹性模量,等效模量,排水量,流量,蒸发流量,测量,激光测量,电阻应变测量,无损测量,涡量,含湿量,传热量,吸热量,散热量,工艺留量,膨胀量,侧向膨胀量,减薄量,质量,附加质量,焊接质量,对口错边量,涡通量,螺栓伸长量,质量检验,批量验收试验,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
值,K值,最大许用应力值,模糊c均值,月平均风速极大值,抛物线插值,熵权值,门槛值,疲劳门槛值,临界值,侧膨胀值,峰值应力,峰值周期应力,极值窗口,临界值范围,数值模型,极值分布,数值模拟,ANSYS数值模拟,数值分析,权值差除法,有限元数值仿真,数值研究,数值计算,K均值聚类,数值解,数值试验,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
换热器,美国换热器协会,电厂换热器标准,POP换热器,预应力换热器,高压换热器,加氢高压换热器,螺纹锁紧环高压换热器,微型换热器,网丝多孔式微型换热器,深槽结构微型换热器,浮头换热器,立式夹套换热器,紧凑式换热器,紧凑型板壳式换热器,管壳式换热器,大型管壳式换热器,集成管箱型管壳式换热器,纵流管壳式换热器,浮头式换热器,发夹式换热器,固定式换热器,自支承式换热器,板式换热器,螺旋板式换热器,固定管板式换热器,印刷电路板式换热器,蓄热式换热器,列管式换热器,钛制列管式换热器,绕管式换热器,缠绕管式换热器,板翅式换热器,铝制板翅式换热器,脱丁烷塔进料换热器,折流杆换热器,三叶孔板换热器,螺旋板换热器,可拆式螺旋板换热器,弓形折流板换热器,连续螺旋折流板换热器,双管板换热器,开放式结构换热器,取样换热器,气气换热器,加氢换热器,新乏蒸汽换热器,蓄热换热器,鳍片换热器,非对称换热器,纵流壳程换热器,U型管换热器,套管换热器,多套管换热器,端焊式套管换热器,高温热管换热器,波纹管换热器,绕管换热器,苯乙烯装置换热器,微通道换热器,换热器封头,换热器管束,换热器圆筒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
压力容器,反应堆压力容器RPV,压力容器使用单位,压力容器标准,压力容器,制冷压力容器,塑料及其衬里制压力容器,钛制压力容器,简单压力容器,锅炉和压力容器,压力管道和压力容器,重型压力容器,反应堆压力容器,核反应堆压力容器,圆柱壳压力容器,气化关键设备压力容器,碟形封头压力容器,齿啮式快开压力容器,移动式压力容器,塔式压力容器,快开门式压力容器,球形压力容器,复合材料压力容器,厚壁复合板压力容器,核压力容器,低温压力容器,低温绝热压力容器,搪玻璃压力容器,核级压力容器,复合材料缠绕压力容器,长管无缝压力容器,铸铁压力容器,矩形截面压力容器,压力容器封头,压力容器用封头,反应堆压力容器支座,压力容器完整性,压力容器清洁厂房,压力容器用钢板,压力容器和封头加热,压力容器管理,压力容器用钢管,压力容器分析设计,压力容器制造,反应堆压力容器钢,压力容器用钢,压力容器检验,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
容器,非标准容器法兰,容器类别,容器,绕丝容器,深冷容器,移动容器,外压容器,深海外压容器,矩形常压容器,大直径常压容器,承压容器,核反应承压容器,高压容器,整体多层夹紧式高压容器,超高压容器,绕丝式超高压容器,大型容器,厚壁容器,大型厚壁容器,薄壁容器,夹套容器,带夹套容器,管式夹套容器,多层容器,绕带容器,移动式容器,卧式容器,塔式容器,球形容器,薄壁内压球形容器,搅拌容器,FRP复合材料容器,储氢容器,高压储氢容器,液氢容器,高压立式液氢容器,立式圆筒型储液容器,低温容器,高真空多层绝热低温容器,复合型多层真空绝热低温容器,爆炸容器,低温绝热容器,抗爆容器,1类容器,2类容器,氢气无缝容器,矩形截面容器,非标准矩形截面容器,对称矩形截面容器,容器开孔补强结构,容器制造,高温高压容器用钢,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反应器,反应器,CVD反应器,煤业化反应器,氧化反应器,PX氧化反应器,氯化反应器,氧氯化反应器,聚合反应器,大型反应器,超高压管式反应器,合成反应器,甲醇合成反应器,加氢反应器,热壁加氢反应器,在役加氢反应器,预加氢反应器,高温反应器,气相反应器,脱硫反应器,反应器管,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蒸发器,蒸发器,乙二醇装置零效蒸发器,油浆蒸发器,薄膜蒸发器,氯化钡蒸发器,蒸发器传热管,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
发生器,蒸汽发生器管嘴,蒸汽发生器,AP1000蒸汽发生器,转化气蒸汽发生器,核电蒸汽发生器,热管蒸汽发生器,中压乙炔发生器,蒸汽发生器传热管,蒸汽发生器制造,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
搅拌器,搅拌器,转定子式搅拌器,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
过滤器,蒸汽过滤器,高压飞灰过滤器,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
过热器,过热器,后屏过热器,顶棚过热器,蒸汽过热器,余热锅炉过热器,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
器,汽水分离再热器MSR,机器人,再热器引入,三通封堵器开槽法兰,仪器化夏比冲击,100t变位器,补偿器,一次性补偿器,平行流气冷器,油冷器,空冷器,高压空冷器,表面蒸发空冷器,反应流出物空冷器,预冷器,高压预冷器,冷凝器,管壳式冷凝器,池式冷凝器,浮头式折流杆冷凝器,脱气冷凝器,氨冷凝器,稀醋酸酐冷凝器,LNG气化器,汽化器,LNG汽化器,丁醛转化器,冷却器,丙烯腈装置反应气体冷却器,循环气冷却器,油冷却器,翅片油冷却器,铝质冷却器,稳压器,塔器,大型塔器,夹套式塔器,并排塔器,高耸塔器,摩擦阻尼器,粘滞阻尼器,橡胶阻尼器,槽式液体分布器,传感器,SOFO传感器,光纤光栅传感器,阀芯传感器,三通保护器,爆破片夹持器,钢丝绳隔振器,热交换器,余热排出热交换器,板式热交换器,C型管束热交换器,黄铜热交换器,球形进卸料器,结晶器,PTA结晶器,凝汽器,低变再沸器,重沸器,引流器,洗涤器,高压洗涤器,面式减温器,ATD再热器,锅炉再热器,汽水分离再热器,高压加热器,倒置立式高压加热器,汽水混合加热器,合成气废热回收加热器,高压给水加热器,蒸汽加热器,C22哈氏合金盘管式酰胺加热器,乙酸加热器,钽加热器,硫铵加热器,内取热器,氢气预热器,空气预热器,板式空气预热器,锅炉给水预热器,再生器,催化再生器,低压组合床重整再生器,冷高压分离器,低温分离器,旋风分离器,灭菌器,蒸汽灭菌器,真空灭菌器,变压吸附器,卧式分子筛吸附器,沉降器,器壁,外取热器管束,传感器安装方法,稳压器波动管,稳压器排放管,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
球罐,球罐整体热处理,球罐,10000m3球罐,15MnVNR钢制球罐,高压球罐,大型球罐,混合式球罐,大型液化气球罐,氧气球罐,天然气球罐,10000m3天然气球罐,乙烯低温球罐,丙烯球罐,乙烯球罐,乙烷球罐,LNG双球球罐,真空球罐,不锈钢球罐,球罐检验,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
储罐,储罐模型,低温储罐单层,储罐底板,石油储罐底板,储罐,105m3储罐,LNG储罐,双层C型LNG储罐,常压储罐,危险化学品储罐,大型储罐,立式圆筒型储罐,大型拱顶网壳储罐,立式储罐,大型立式储罐,球形储罐,支架式球形储罐,油气储罐,液化天然气储罐,液氨储罐,原油储罐,石油储罐,低温储罐,储罐底板腐蚀,球形储罐制造安装,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
罐,罐体,油气罐区,石油罐区,罐口,低温液体罐车外壳,罐底,罐盖,硫化罐卡箍,罐箱,LNG罐箱,液化天然气LNG罐箱,水泥罐箱,罐式集装箱,内罐,蜡油加氢热高分罐,硫化罐,平推式门盖硫化罐,丙烷卧罐,LPG覆土罐,外罐,LNG全容罐,单容罐,树脂反应罐,不开罐,卧式搅拌罐,LNG燃料罐,子母罐,油罐,储油罐,超大型储油罐,大型油罐,浮顶油罐,储液罐,大型储液罐,分离罐,沥青贮罐,深海高压试验罐,罐壁设计,罐式汽车,充液罐车,LPG铁路罐车,汽车罐车,LNG低温液体运输罐车,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
塔,氨合成塔内件,急冷塔,冷却塔,减压塔,常压塔,氨中和塔,反应塔,氨合成塔,尿素合成塔,甲醇合成塔,汽提塔,二氧化碳汽提塔,吸收塔,CO2吸收塔,硝酸吸收塔,甲醇吸收塔,复合钢板塔,底部框架塔,碱洗塔,焦炭塔,再生塔,脱硫塔,异构化原料分离塔,放空塔,高耸空塔,高耸塔,三聚氰胺废水分解塔,吸附塔,精馏塔,高塔,塔设备,超重、超大直径薄壁塔设备,悬挂式塔设备,焦炭塔裙座,塔裙连接型式,塔板,一塔两用,塔盘,塔顶馏出线,焦炭塔的制造,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
瓶,气瓶水压内测法,气瓶水压外测法,气瓶爆炸,气瓶,CNG气瓶,车载LNG气瓶,CNGⅡ气瓶,高纯气体气瓶,天然气储气瓶,高压气瓶,复合气瓶,CNG2复合气瓶,CNGⅡ复合气瓶,CNG2型气瓶,全复合材料气瓶,车用高压燃料气瓶,压缩天然气车用燃料气瓶,氢气气瓶,车用高压天然气气瓶,车用高压氢气瓶,纤维缠绕高压氢气瓶,车用铝内胆碳纤维全缠绕氢气瓶,氧气瓶,低温气瓶,焊接绝热气瓶,低温绝热气瓶,无隔热气瓶,高压空气瓶,缠绕气瓶,大容积钢质内胆环向缠绕气瓶,环缠绕气瓶,无缝气瓶,长管拖车气瓶,储氢瓶,钢瓶,CNG钢瓶,人工缺口钢瓶,非重复充装焊接钢瓶,液化石油气钢瓶,非重复充装钢瓶,长管拖车钢瓶,LNG车用气瓶颈管,储气瓶组,高压气瓶钢,气瓶阀,车用瓶阀,气瓶泄露,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
