,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197
釜,加压釜,蒸压釜,高压釜,萃取釜,聚合釜,反应釜,搅拌反应釜,搪瓷反应釜,卡箍式快开釜,超高压水晶釜,超高压人造水晶釜,脱蜡釜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
床,吸收床,焦床,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
筒,筒形件,筒体锻件,筒体,汽包筒体,吊篮筒体,筒体鼓凸,单节筒体一次成型,圆筒模型,筒体开孔补强,井筒内低品位余热,压力筒,圆筒,内压圆筒,外压圆筒,厚壁圆筒,薄壁圆筒,短圆筒,薄壁内压短圆筒,厚壁筒,薄壁筒,套筒,三旋中心筒,导流筒,烘筒,发球筒,内衬筒,锅筒,压制锅筒,锅筒纵缝,筒节,厚壁大直径筒节,筒体端部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
炉,加压气化炉炉体,锅炉密封,HP型炉管材料,锅炉水,炉内法,气化炉,德士古气化炉,鲁奇式气化炉,氨氧化炉,制氢转化炉,常压炉,还原炉,变换炉,重沸炉,高压气淬炉,加热炉,延迟焦化加热炉,简易热处理炉,电炉,减粘炉,乙烯裂解炉,乙烷裂解炉,锅炉,急冷锅炉,注汽锅炉,中压管壳式余热锅炉,废热锅炉,第一废热锅炉,列管式废热锅炉,700℃超超临界锅炉,电站锅炉,火管锅炉,炉管爆破,炉管,乙烯裂解炉HP40炉管,AL6XN炉管,Cr5Mo炉管,Cr9Mo炉管,9CrMo炉管,制氢转化炉管,裂解炉炉管,锅炉炉管,裂解炉管,乙烯裂解炉管,25Cr35NiNb微合金乙烯裂解炉管,CrMo钢炉管,锅炉联络管,高炉煤气管系,锅炉管道焊缝,锅炉用钢,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
管道,管道法兰,管道流动,管道速接头,管道施工,管道响应,管道腐蚀防护,管道焊接,压力管道快速连接,管道失效,压力管道直管段,管道风险评分法,管道泄漏,管道弯矩,西气东输二线管道工程,压力管道标准体系,管道系统,工业金属管道工程施工规范,管道设计,管道,燃气PE管道,工业管道,主管道,AP1000主管道,压力管道,氨制冷压力管道,含缺陷压力管道,热力管道,核辅助管道,核一级辅助管道,快速卸压管道,复合管道,埋地管道,水平管道,海底管道,横向共振管道,焊接管道,复合材料管道,复杂管道,氢气管道,油气管道,天然气管道,燃气管道,聚乙烯燃气管道,输气管道,高压输气管道,海底输气管道,主给水管道,蒸汽管道,主蒸汽管道,超高压蒸汽管道,P92钢蒸汽管道,输油管道,保温管道,供热管道,聚乙烯管道,城镇燃气聚乙烯管道,悬空管道,架空管道,一级管道,核二三级管道,核级管道,超级管道,腐蚀管道,长输管道,氢气长输管道,X80钢管道,X80管道钢,管道缺陷,埋地管道缺陷,管道检验,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
接头,法兰接头,螺栓法兰接头,T型接头,焊接接头,钢板及焊接接头,镍基焊接接头,对接焊接接头,钢制对接焊接接头,P91钢焊接接头,异种钢焊接接头,奥氏体不锈钢焊接接头,胀接接头,换热管与管板接头,管子管板接头,法兰螺栓接头,环焊接头,X70管线钢环焊接头,胀焊接头,钎焊接头,热熔接头,电熔接头,管接头,内管接头,套管接头,油套管接头,绝缘接头,伸缩接头,同质接头,异质接头,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
设备,承压设备指令,设备法兰,JB4730《承压设备无损检测》标准,主设备,AP1000主设备,核岛主设备,核电站主设备,真空绝热深冷设备,国产CF62钢制设备,镍制设备,压力设备,承压设备,协调标准承压设备,尿素高压设备,超大型设备,化工设备,大型化工设备,立式设备,大型特材设备,核设备,机械设备,海上石油天然气设备,临氢设备,高温高压临氢设备,加氢设备,制氧设备,炼油设备,换热设备,搪玻璃设备,核电设备,脱硫设备,特种设备,移动式承压类特种设备,核级设备,高耸设备,新型双锥回转设备,钛设备,铬钼钢设备,超限设备,设备支撑,承压设备常用材料,核电设备用金属复合板,设备泄漏,设备评级,化工设备设计,设备闸门,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
设计-制造-工艺,机械制造业,设计与制作,重大工程设计案例,封头制造与标准,泄放设计标准,分析设计标准,夹具设计准则,分析设计准则,设计体制,设计爆破压力,工艺优化,修补工艺优化,设计优化,工艺开发,60年设计寿命,设计区域,工艺装备,工艺评定,成形工艺评定,焊接工艺评定,胀接工艺评定,设计理念,设计瞬态,设计材料,设计变更,设计结构,设计校核,设计方案,设计方法,框架式结构设计方法,分析设计方法,规范设计方法,制造方法,分析设计法,制造特点,制造难点,工艺仿真,工艺试验和研究,工艺研究,设计疲劳曲线,远程协同设计系统,工艺,冲压工艺,加工工艺,成形工艺,焊接工艺,胀接工艺,新工艺,焚烧工艺,预后热工艺,堆焊工艺,药芯焊丝电弧焊工艺,双人双面焊工艺,处理工艺,热处理工艺,安装工艺,制造工艺,关键制造工艺,设计规范,设计载荷,设计,正交设计,安全设计,局部法兰夹具设计,按规则设计,热力设计,疲劳设计,国产化设计,优化设计,有限元优化设计,协同优化设计,结构优化设计,模块化设计,轻型化设计,外压设计,基于应变设计,蠕变设计,寿命设计,加强圈设计,堵头设计,纤维缠绕层设计,顶层设计,程序设计,加强设计,补强设计,塑性设计,直接设计,结构设计,分析设计,应力分析设计,按分析设计,机械设计,内胆设计,工艺设计,常规设计,线路设计,正交试验设计,工艺探讨,焊后热处理工艺验证,工艺改进,生产制造工艺改进,制造,整体制造,芯体制造,国产化制造,加工制造,焊接制造,管束制造,设计制造,制造缺陷,设计问题,原材料消耗工艺定额,板材消耗工艺定额,制造与检验,日常制造检验,焊接工艺评定试验,工艺试验,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
处理,调质热处理QT,最终热处理后,控制和处理措施,处理方法,处理,SR处理,分析与处理,消应力处理,预强化处理,等效线性化处理,敏化处理,冷拉处理,数据处理,消氢处理,固溶处理,焊后固溶处理,泄漏处理,退火处理,热处理,焊接与热处理,整体热处理,环缝局部电加热处理,稳定化热处理,热成型及热处理,焊接及热处理,成形后热处理,焊后热处理,模拟焊后热处理,局部焊后热处理,最大模拟热处理,二次热处理,局部热处理,固熔处理,防腐处理,调质处理,不停车处理,预防处理,缺陷处理,集气处理站,热处理规范,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
评价-安全-强度,安全联锁完整性等级评估SIL,安全完整性等级SIL,安全仪表系统SIS,人的不安全行为,安全附件,评价,安全评价,屈曲安全评价,模糊综合评价,安全性评价,完整性评价,结构完整性评价,适用性评价,合于使用评价,风险评价,安全评估,安全性评估,安全完整性等级评估,安全措施补偿,安全,工业安全,结构安全,核安全,本质安全,安全等级划分,灰色综合评价模型,钢制安全壳,钢安全壳封头,安全评定,安全性,安全稳定性,安全完整性,安全分析,安全性分析,评价指标,基本安全要求,综合评价法,蒙德评价法,评价方法,安全管理,安全使用,安全监督,安全性研究,安全端,接管和安全端,核电安全端,接管安全端,核安全分级,安全状况等级,安全完整性等级,安全联锁系统,安全装置,安全泄压装置,安全泄放装置,安全高效运行,安全预警,安全连锁,安全壳闸门,安全区间,安全阀,安全保障,安全停堆地震,安全重要物项,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
分析,ANSYS有限元分析软件,分析模型,分析评定,反对称载荷分析削弱圆板,对称载荷分析弹性基础板,分析,LBB分析,ANSYS分析,损伤分析,等几何分析,比例分析,TOFD图像分析,有限元分析,弹塑性有限元分析,非线性有限元分析,受力分析,接管受力分析,应力分析,残余应力分析,有限元应力分析,弹塑性应力分析,弹性应力分析,线弹性应力分析,热应力分析,振动分析,疲劳分析,振动疲劳分析,弹塑性疲劳分析,时限老化分析,脆化分析,泄压分析,蠕变分析,扫描电镜断口分析,信号分析,综合分析,热应力耦合分析,场协同分析,疲劳试验和分析,原因分析,腐蚀原因分析,成因分析,流场分析,力学分析,流体动力学分析,瞬态动力学分析,安定分析,评定分析,密封分析,辐射分析,通用响应分析,谐响应分析,地震响应分析,自增强分析,回归分析,变形分析,模态分析,瞬态分析,相关性分析,塑性分析,弹塑性分析,简化弹塑性分析,安定性分析,稳定性分析,适应性分析,弹性分析,非弹性分析,敏感性分析,特性分析,非线性分析,系统性分析,减振分析,事故分析,失效分析,动态失效分析,屈曲分析,内压屈曲分析,计算机分析,随机分析,结构分析,热及结构分析,故障树分析,试样分析,层次分析,法规条款分析,对比分析,小波分析,高温分析,弱点分析,传热分析,数理分析,机理分析,金相分析,仿真分析,时程分析,真时程分析,失稳分析,研究分析,模糊分析,风险模糊分析,裂纹分析,极限载荷分析,腐蚀分析,断裂分析,接触分析,统计分析,理论分析,反应谱分析,频谱分析,材质分析,热棘轮分析,极限分析,塑性极限分析,风险分析,失效风险分析,缺陷分析,抗震分析,分析法补强方法,分析方法,弹塑性应力分析方法,化学分析取样方法,混合分析法,弹塑性分析法,风险模糊分析法,分析验证,分析比较,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有限元-模拟,有限元方法FEM,模拟PWHT,模拟件,PIPESTRESS有限元软件,有限元,非线性有限元,三维有限元,接触有限元,有限元模型,模拟,有限元模拟,屈曲模拟,热模拟,传热模拟,统计模拟,有限元建模,有限元法,扩展有限元法,有限元方法,模拟退火方法,快速有限元算法,模拟退火算法,有限元仿真,有限元计算,屈曲模拟计算,地震模拟实验,模拟Ding试验,模拟试验,水力模拟试验,焊接模拟试验,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
理论-效应,套合效应,闭合效应,胶层效应,热弹塑性效应,包辛格效应,时滞效应,载荷历程效应,棘轮效应,双轴棘轮效应,多轴棘轮效应,焦耳汤姆逊效应,有效应力图法,理论研究,薄壳理论解,精细化统一理论,板壳理论,弹性薄壳理论,动力学理论,变形理论,弹性理论,线弹性理论,可拓理论,贝叶斯理论,网格理论,损伤累积理论,灰色理论,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
封头,锥形封头组件,封头整体冲压,非标封头冲压,封头,16MnDR封头,下封头,带法兰封头,椭圆封头,标准椭圆封头,S型封头,锻制平封头,凸形封头,凹形封头,椭圆形封头,标准椭圆形封头,成形封头,球形封头,厚壁大直径球形封头,碟形封头,2∶1碟形封头,平板封头,双平板封头,平管板封头,SA387Cr11CL2钢拼焊封头,大直径高压球封头,瓜瓣封头,平盖封头,球冠形端封头,平盖加筋封头,厚壁球缺封头,锆封头,球冠形中间封头,顶封头,封头成形,封头拼缝,封头内衬,封头直边,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
壳-层-壁,圆柱壳构件,厚壁管件,壳体,外压壳体,圆柱壳体,椭球壳体,多面壳体,壳程流体,厚壁锥体,壳单元,球壳板压制,断层解剖,壁面剪切应力,断层错动,壁厚,镗孔壁厚,侧壁烧嘴,外护层破坏,球壳板成型,修正边界层模型,壳接触模型,水冷壁,厚壁,薄壁,复合壳,U型壳,外壳,圆柱壳,半圆柱壳,薄壁圆柱壳,带径向接管的圆柱壳,主泵泵壳,聚液壳,环壳,球壳,负壳,锥壳,外压锥壳,急冷室锥壳,斜锥壳,无折边直斜锥壳,无折边锥壳,顶壁连接处,壁厚测定,夹层阻尼,热分层,氢致分层,氧化层,单层,夹层,中性层,近断层,地震断层,涂层,防腐涂层,表面涂层,过渡层,堆焊层,不锈钢堆焊层,搪玻璃层,缠绕层,防腐层,外防腐层,耐蚀层,覆层,壁厚计算公式,多层包扎,层间接触摩擦,再烘干堆叠层数,绝热材料层数,多层材料,壁板,球壳板,层板,薄壁结构,层次结构,壁厚比,壳程强化传热,高真空多层绝热,单层堆焊,单层带极电渣堆焊,薄壁管与管板焊,单层高速电渣焊,不锈钢堆焊层剥离,壳程,双壳程,纵流壳程,壳体失稳,水冷壁管,厚壁管,双层管,多孔涂层管,薄壁换热管,双层波纹管,多层波纹管,厚壁金属波纹管,堆焊层裂纹,内壁母材点腐蚀,外护层开裂,堆焊层开裂,壳程压降,层间隔震,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
接管,接管补强,开孔接管补强,接管段,接管纵向弯矩,接管,正交接管,出口接管,开口接管,烧嘴接管,多开孔接管,矩形接管,马鞍形接管,大直径接管,斜接管,周向斜接管,轴向斜接管,大口径插入式斜接管,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
法兰,法兰,整体法兰,非标准法兰,组合法兰,烧嘴法兰,锚固法兰,浮头法兰,人孔法兰,焊唇密封法兰,大直径法兰,连接法兰,螺栓法兰,衬环法兰,管箱法兰,底部法兰,快开门法兰,长颈法兰,法兰密封,法兰连接,螺栓法兰连接,法兰结构,法兰螺纹,法兰密封系统,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
螺,异种材料螺纹联接件,螺孔损伤,螺纹损伤,主螺栓螺纹副,螺栓拉伸力,钢丝螺套,主螺栓孔,螺孔,主螺孔,螺旋槽机械密封,螺栓应力分布,螺带,螺纹磨损,螺纹联接,螺旋折流板,螺柱,螺栓,主螺栓,抗剪螺栓,紧固螺栓,D形螺栓,连接螺栓,地脚螺栓,螺栓紧固方法,螺旋流,螺旋扭片,螺纹锁紧环,螺旋管,水平螺旋管,螺旋内肋扭曲管,螺旋埋弧焊管,螺旋缝埋弧焊管,X60螺旋焊管,螺纹翅片管,铬钼钢螺旋盘管,螺栓预紧,螺纹,螺栓螺纹,特殊螺纹,螺旋焊缝,螺栓载荷,均匀螺栓载荷,安装螺栓载荷,螺栓预紧载荷,螺栓连接装配资质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
板,板翅式传热元件,中空肋板构件,管板组件,平板试件,管板布管区,热轧板卷,最大板厚,托砖盘底板修复,管板上下表面温差,不锈钢钢板及钢带,复合板焊接,Ta1TA1Q345R复合板焊接,无垫板焊接,管板焊接,管与管板焊接,管子管板焊接,管子与管板连接,管与管板的连接,孔板支撑,16MnRHIC板,厚板,12Cr2Mo1R厚板,特厚板,SA387 Gr11 Cl2特厚板,复合板,C27616MnR复合板,全复合板,金属复合板,爆炸复合板,钛复合板,钛钢复合板,中厚不锈钢钢复合板,锆钢复合板,不锈钢复合板,钛铝复合板,904L不锈复合板,双面复合板,CAXA电子图板,顶圆板,堵板,三叶孔板,多孔板,定尺板,大孔分布板,平板,底板,熄弧板,支持板,搭接板,支撑板,六分花格板,防波板,折流板,大小孔折流板,开孔折流板,弓形折流板,环形折流板,弓缺形折流板,曲面折流板,环板,管板,管子与管板,换热管与管板,主管板,内管板,滑动管板,双管板,复合管板,组合管板,管子管板,固定管板,环形管板,挠性管板,管管板,管子内缩管板,薄管板,挠性薄管板,柔性薄管板,普通管板,波纹板,梯形波纹板,薄板,补板,焊接试板,钢板,06Ni9钢板,SA738GrB钢板,08Ni3DR钢板,09MnNiDR钢板,国产225Cr1Mo03V钢板,225Cr1Mo025V钢板,厚钢板,复合钢板,S11306Q345R复合钢板,225Cr1Mo0Cr18Ni11Ti复合钢板,轧制复合钢板,镍基复合钢板,爆炸焊复合钢板,双相钢复合钢板,不锈钢复合钢板,热轧不锈钢复合钢板,隔板,刮板结构,管板结构,不锈钢板翅结构,钢板超声检测,波纹板片,不锈钢板片,平板普通型爆破片,盲板头盖,管板计算,钢板中心线,厚板对接焊缝,管板焊缝,管子—管板焊缝,管子管板焊缝,全焊透结构管板焊缝,顶部板式吊耳,厚板N08810合金,厚板铝合金,薄板奥氏体不锈钢,管板间隙,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
杆,小冲杆,波导杆,拉杆,导波杆,折流杆,波形折流杆,小冲杆试验法,小冲杆测试,小冲杆试验,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
管,管孔对中,堵管条件,软管组件,90°弯管部件,现役管线移位,翅片缩放管式蓄热体,直管夹具,堵管准则,换热管轴向应力,周边不布管区,胀管区,管嘴,给水管嘴,管头,半管夹套,半圆管夹套,管子,Inconel690合金管子,管座,CRDM管座,胀管轮廓,布管方式,换热管稳定性,管网拓扑,管束共振,爆管事故,内管材料,管座母材,管束,冷却管束,混合管束,横掠管束,换热管束,管箱结构,胀管后检查,缩径管段,监管要求,多频管中电流法,圆管法,内管泄漏,管口焊,管端焊,管理,腐蚀管理,管土作用,堵管研究,主管,虚拟光管,冷管,冷凝管,加氢裂化装置排凝管,波动管,导压管,出口管,复合管,钢带缠绕增强复合管,入口集合管,扁圆管,椭圆管,钉头管,套管,热电偶套管,双套管,油套管,加热套管,防磨套管,2RE69Zr702双金属管,反应管,弯管,90°弯管,异径弯管,蒸汽弯管,中频加热弯管,热煨弯管,C形管,U形管,等弦波形管,蛇形管,不锈钢小径管,异径管,中心管,扭曲扁管,现场换管,支管,缩放管,烟机暖管,扭曲管,取样管,出水管,进水管,汇管,装车汇管,排污管,导汽管,主蒸汽管,油管,安注管,对流管,翅片对流管,集流管,热管,传热管,C形传热管,重力热管,取热管,液态金属热管,换热管,失效换热管,单根换热管,波节换热管,镍基合金换热管,不锈钢换热管,普通高温热管,翅片热管,复合中空热管,过热管,聚乙烯管,爆管,翅片管,低翅片管,椭圆翅片管,三维翅片管,动态风险监管,盘管,浮动盘管,半管盘管,圆管盘管,穿管,顶张力立管,波纹管,外压波纹管,S型波纹管,Ω型波纹管,超大型波纹管,加强型波纹管,无加强型波纹管,金属波纹管,U形波纹管,无加强U形波纹管,Ω形波纹管,矩形波纹管,圆弧切线波纹管,绕管,缠绕管,双联管,胀管,液压胀管,机械胀管,衬管,不锈钢衬管,多跨管,金属软管,金属波纹软管,超高压聚乙烯输送管,隧道管,690合金管,钛管,钢管,X80钢管,P91钢管,T22钢管,P23钢管,Cr5Mo钢管,高压钢管,酸性服役钢管,管线钢管,无缝钢管,铸铁管,渗铝管,管箱,下管箱,N型管箱,管系,管线,压力管线,取样管线,高压气管线,油气管线,天然气管线,轴封水管线,高温管线,内冷管组,数据库管理系统,信息管理系统,城市燃气管网,配气管网,火炬管网,高温热管翅,波纹管膨胀节,金属波纹管膨胀节,管束套装,长管拖车,管线钢,X70管线钢,X80管线钢,X65管线钢,X80级管线钢,高钢级管线钢
轮,棘轮行为,棘轮变形,汽轮机,多轮次,涡流轮廓曲线法,棘轮边界,棘轮,热应力棘轮,蠕变棘轮,热棘轮,棘轮极限,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
热,热丝TIG,耐热钢CrMoCoV,电加热元件,过热损伤,环状蓄热体,蜂窝蓄热体,热偶,红外热成像,传热单元,大热输入,焊接热输入,大焊接热输入,热输出,热冲击,承压热冲击,热应力,交变热应力,局部热应力,热工水力,热机械疲劳,热疲劳,传热强化,热老化,热影响区脆化,热影响区,焊接热影响区,热暴露区,热挤压,热旋压,整体热压,热力耦合,热固耦合,热结构耦合,热应力场,热冲压成型,热旋压成型,热压成型,热成型,热源模型,双椭球热源模型,一维传热模型,热加工,热膨胀差,加热带,热响应,传热与流动准则式,传热准则式,换热关联式,热成形,热强性,再热裂纹敏感性,传热与阻力特性,换热阻力特性,流动和传热特性,换热特性,局部换热特性,大热输入焊接,余热回收,热斑,加热槽,热脱盐水,热振幅曲线法,过热蒸汽流,临界热流,热喷涂,热源,一维非稳态导热反演,传热,流动与传热,强化传热,相变传热,流固耦合传热,瞬态传热,对流传热,非对称传热,室内供热,感应加热,后热,换热,强化换热,对流换热,漏热,汽化潜热,电热,真空绝热,过热,长期过热,局部过热,预热,双热丝钨极氩弧焊,热循环,焊接热循环,二次热循环,热套衬环,动态热边界,动态换热边界,热力耦合仿真,传热计算,热箱,热裂纹,再热裂纹,绝热剪切线,热电厂空冷系统,热压缩,热膨胀,热振荡,热机械载荷,移动热载荷,热循环载荷,热疲劳开裂,热轧,耐热钢,VM12耐热钢,传热与压降,传热及压降,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流-液,高压水射流喷丸,液化气体,运动流体,超临界流体,不可压缩流体,液体冲击,流体力,胀合液压力,流体阻力,流动阻力,紊流抖动,流体诱发振动,流体诱导振动,流体诱发的振动,两相流诱发的振动,流致振动,液体晃动,流动,流体流动,轴向流动,气液两相流动,湍流激励,导流区,超临界流体萃取,流固耦合,液固耦合,流场,瞬态流场,涡流场,单元流道模型,低温液体运输装备,全流通内夹套,计算流体力学,液压成形,无模液压成形,液压胀形,流体弹性不稳定性,流场特性,交流阻抗,湍流激振,液压胀接,涡流检查,液化气,液化石油气,液化天然气,液氨,铅液池,雨流计数法,雨流法,横向流,外流,对流,涡流,溢流,气固两相流,气液两相流,汽液两相流,单相流,多相流,多股流,交流电磁场检测,涡流检测,液体渗透检测,CO32HCO3溶液,NS4溶液,H2S水溶液,N甲基二乙醇胺溶液,42氯化镁溶液,新型阻流片,流弹失稳,涡流检测系统,煤液化装置,液压胀,液态金属致脆,羽流现象,流速,空气流速,临界流速,流道,单元流道,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
